,N_COLON_1,N_COLON_3,N_COLON_4,N_COLON_5,T_COLON_2,T_COLON_3,T_COLON_4,T_COLON_5,T_COLON_7,T_COLON_9,T_COLON_10,N_PAN_1,T_PAN_1,T_PAN_2,T_PAN_4,T_PAN_5,T_PAN_6,T_PAN_7,T_PAN_8,T_PAN_9,N_KID_1,N_KID_2,N_KID_3,T_KID_1,T_KID_3,T_KID_4,T_KID_5,N_BLDR_1,T_BLDR_1,T_BLDR_3,T_BLDR_4,T_BLDR_5,T_BLDR_6,T_BLDR_7,N_PROST_1,N_PROST_2,N_PROST_4,N_PROST_6,N_PROST_7,N_PROST_8,T_PROST_1,T_PROST_2,T_PROST_3,T_PROST_4,T_PROST_5,T_PROST_6,T_OVARY_1,T_OVARY_3,T_OVARY_4,T_OVARY_5,T_OVARY_6,N_UT_8,T_UT_1,T_UT_2,T_UT_3,T_UT_4,T_UT_5,T_UT_6,T_UT_7,T_UT_8,T_UT_9,T_UT_10,N_LUNG_1,N_LUNG_3,T_LUNG_1,T_LUNG_2,T_LUNG_3,T_LUNG_4,T_LUNG_6,T_MESO_1,T_MESO_2,T_MESO_3,T_MESO_4,T_MESO_5,T_MESO_6,T_MESO_7,T_MESO_8,T_MELA_1,T_MELA_2,T_MELA_3,N_BRST_1,N_BRST_2,N_BRST_3,T_BRST_1,T_BRST_2,T_BRST_3,T_BRST_4,T_BRST_5,T_BRST_6
EAM103,1.4085229088010853,0.7496424023740131,1.4147693213555004,1.3862103147731275,-0.9557767281031346,1.0891669456921143,0.18394760478250466,0.17004400001799574,-0.2081284807095962,-0.17323952856687902,-0.23342041861566332,0.9939671632691697,0.36799866117784574,0.0719762510581786,0.8148167098882885,0.4513646010942825,-0.9722327302710088,-0.7865295766473088,0.2745994791049096,-0.1859365454679796,3.113867787717408,2.9454930921012776,3.91351997202386,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,0.25319646669706003,1.037330074791057,-0.6474471217766999,-0.9703578783601738,-0.9722327302710088,-0.9722327302710088,-0.7246037749191336,1.1010193510888295,1.3102324051587928,0.06676007891021227,-0.15779520391524804,0.17321825424327109,2.134155568409967,0.43338644192949277,0.3561184114458214,-0.043791213713332965,-0.3969223555526439,-0.7999412648213516,-0.5686569342961121,-0.30178754324542045,-0.9722327302710088,0.14593080564002778,0.5061900973185528,-0.2539416937387138,-0.9722327302710088,0.515517949647212,1.5683401120321172,0.5302104772454888,-0.3198677983063442,-0.9722327302710088,-0.9722327302710088,-0.7243995831268648,-0.3221603152468205,0.5259224496078363,0.7855430320329734,0.5087239318317107,0.22090631918322368,-0.2956061008067266,-0.649971674844755,-0.9722327302710088,-0.4836110528160064,-0.42841429878761045,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,-0.9722327302710088,0.26193030653911903,0.5477060012649143,0.2169988307947997,-0.12352810859444106,1.3790821649339133,0.10895352834910318,-0.5186577895254768,-0.41041757673261425,0.008983083143141895
EAM105,0.5435801905229809,0.3899516352830494,0.5643290824542097,0.577703803733921,-0.2870984446331657,0.49506971496251323,-2.5719273843730535,-0.5952664820758621,0.045968263127005984,-0.6431479842572292,-0.6783632639077576,0.0005665065666879834,0.9404840814722617,0.1536889912717101,0.8383301292115456,0.9151805547268612,0.26372318471885187,0.6289615193410322,0.7871447093951355,0.8373902839324303,0.667639767366144,0.45617457956529717,0.5870299607343687,-2.974022113094677,-0.5052871409692175,-1.416170726329213,-0.9633315821144567,0.5788605363851392,-1.3345704673648322,0.1501464975273546,-0.9997252831534128,0.39522922800423343,-4.185938141355166,-0.08727287913520289,0.9666551577060766,0.9338328687277566,1.0127798721734056,0.9323869529137345,0.9309410370997111,0.9472075900074679,0.662217583063558,0.7115233123217389,1.036637483104784,0.7301033305319321,0.99788693928897,0.25230044978807076,-1.2052622161167657,-0.5806410436170207,0.8876358584697253,0.9039747071681843,-1.4995711504820533,0.9821987527068223,0.9288444591693777,0.7516474761608742,0.5458936558254173,-2.154057714120441,0.7668295922081138,0.9904404728467527,0.4265333053778291,-0.18386005551193108,0.3156315624422731,0.8030497833493873,0.2854119219291946,0.6654708936451096,-1.003947357330359,0.29148476834809073,-0.43602777347752225,-0.4976960829455983,0.16034020401621527,0.1262888865959774,-0.3210051704720016,-0.22817737521173315,0.5915122997578395,-1.24410674446049,-0.8046423215254453,0.594114948223081,-1.1178710643172227,0.10792575575788593,-0.5915866263291731,-0.8378983852479711,0.9863196127767869,0.8712970097712676,0.8894432532372548,0.14971272278314746,-1.642630061121477,-0.7959017604296765,-0.7889324462060868,-1.395595344295668,-0.3820951136144686
EAM109,0.4503052474275691,-0.13067798945554782,0.7086085461076377,0.5593790339460806,0.483449655894845,0.45269546919203624,0.050978864643946076,0.4333346728998532,-0.027978127642281064,2.244883748189406,0.5105388358921377,2.635366310444501,3.3220770233758756,0.7748176889833741,2.8170231645439943,2.3864645507046687,-0.5881664351745346,2.3814450849992888,2.2073572664872736,2.090316074087205,0.034406660410307786,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.06654037210901562,2.17867460531367,1.3979485029799261,0.6403278777026972,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.007820590761942818,0.8103523192151177,-0.4230817853086797,-0.603224832290677,-0.384439866783129,-0.19266440721405906,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.04925110134603819,1.353251355984393,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,1.1992414002939011,1.3043314838716342,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,0.2150277517451989,-0.5449034212376819,-0.1811913427446172,-0.6451333872276654,-0.21345933656492175,-0.6451333872276654,-0.6451333872276654,-0.2860424041459035,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.6451333872276654,-0.5012420370067509,-0.6451333872276654,-0.3826870374891871,-0.5789242443519291,-0.6451333872276654,0.4704627843079074,-0.6451333872276654,-0.5649016100003894
EAM111,0.9333093608701536,0.29254350090750075,1.0167544166086373,0.8552133471661887,-0.20188902758161076,0.33621637179548236,-0.4891984191987401,0.26886781793317965,0.1973223233976392,-0.3070100475030493,-0.12848371227714572,0.892162883681553,-0.05723447237736366,0.1349689518660322,1.4361193121148645,1.2177138111977681,-0.8068327645038682,0.2346174903213878,1.029592117491482,-0.036142788170485406,1.3058495653357516,0.7051109983821694,0.6568873271171283,-0.17952180258188738,-0.36087901543836626,-0.8537562070897491,-0.42595628375985933,0.6847846386510009,0.40688133171918645,-0.16307967029732193,-0.7432779158383542,-0.2639379151820219,-3.055644099474256,-0.4281699642326056,1.3350635641396593,1.3392605048128956,1.2035594230448885,1.5149559624082254,1.0724667467220041,1.168667210388954,-0.4987773190882464,-0.34533387635651347,-1.5161568847581688,-0.9281737257330533,-0.1173988513225366,-0.036332061965553115,-1.1821791587137278,-0.7004938088576464,-0.4172496891867505,0.3578429602058112,-0.3563693615384967,1.4726573838583423,-0.12884580127640488,1.3431282736686254,1.3481481438856349,-0.9448874247670636,0.5146851019533226,0.7631275312180983,-1.3403955927993385,-0.2817543398046858,1.3488887804750294,1.1732756158340782,0.40276668400032567,1.4633582800137181,-0.2883871519274887,0.24074831542248828,-0.885677644092665,0.226898411200806,-0.624306991695232,-0.6057005547105462,-1.2378091958727175,-0.7541899615887705,-0.1265498278492816,-1.3697824068074376,-2.6040615123293542,-1.083221881075141,-3.0971855828438684,-0.9679459105835555,-1.120475901521701,-0.808667897386479,1.2712042315429495,1.437929757111163,1.391351944933665,-0.19135552942132847,-0.3313440741123879,-0.5728985830957923,-0.7813548658286859,-0.6476864200337946,0.3990635010533514
EAM115,0.8818787305429417,0.8885255011720948,0.9954969659850078,1.1115038846219234,-0.1874204944218689,-0.17475008791004812,-0.8398321884104512,0.8536299553690456,0.535519667289481,0.35117563812159636,0.31461839966125943,0.6963922876731724,0.12051192613180851,0.6787368031894865,1.0015206018676757,1.1292632248966896,-1.2229562017064093,-0.26043111555145876,0.20816621380374956,0.008970806511353185,1.0160604126189465,0.7560055117533779,0.7951591449907267,-2.4586116328239607,-0.19344413030453667,-1.7499620279652888,-1.1360185189929242,0.3907446945232662,0.8829172884537462,-0.0071268411061234304,0.14325634437843812,-0.8096205387851341,-2.147044259582467,-0.11586385436740446,1.0020398808230786,0.8766859409889179,1.1446338819766027,1.1288478017323667,0.8453214920826068,1.1107768940843596,-0.1931325629312959,-0.5936004933376975,-1.3179219370704156,-0.3658447434981642,0.009386229675676054,0.4286520582676483,-1.6105875563352603,-0.5727254793305162,0.5098672868925969,-0.9321911434183378,0.07253055065261944,0.8979763781604184,-1.4414168582442375,0.33985535689382074,0.617358030660913,-1.3247556481235137,0.6345980919802761,0.5185911733433587,-1.7059375581262664,-0.3482931148055603,1.099975891811989,0.9254981627967509,1.2501513657143883,1.1353907165704376,-0.29937703720664527,0.5356235230805613,-0.13092294407407667,0.22665254461607762,-1.1907297497341294,-0.30456982676067096,-1.4530798635825768,0.05435578721353217,0.7011696540628753,-0.7712977518764291,-3.185290603014208,-0.24256791948561227,-3.132043738927236,-0.25887327868525123,-0.23457102357241408,0.12674327359663864,0.9862538005788428,0.9626785360035693,1.0077519493325058,0.49761230354509894,0.7544476748871703,0.001597045344638388,-0.6388816182487943,-1.3663498924512523,0.7549669538425735
EAM119,0.5545589353381988,0.6882895779977328,0.7066410736477048,0.7280040967889538,0.2582058081496875,0.33057657817444647,0.054080710381544043,0.3744319472661726,0.5569116911907588,0.46016637053347376,0.38327830927179923,0.5673579271761278,0.8078095753078032,0.4798354094608799,0.7684714974529926,0.7232985850838323,0.06753847385819009,0.5016689837726399,0.6027433751986361,0.7681891667506859,0.7213222701676811,0.6738907121800631,0.7362857973899657,-0.8041105143983971,-1.0227662323119537,-2.4373842162224366,0.6464105238221578,0.5805333599504655,0.683678176526715,0.19712826621721904,-0.250083566237468,0.18865834514800117,-1.7405167547408582,0.18395283344287958,0.8094094492875439,0.7532256395284014,0.860699526873362,0.766306962068637,0.6486691694406156,0.8332193385154552,-0.7356923742059405,-0.8440132536578225,-1.5742992592691694,-0.7940407193494385,0.656950870041629,0.5518297385492283,-1.0497382254057066,-0.294315376265603,0.4266631271930144,0.5050569522003274,0.6689969800067388,0.8342545510905827,0.48642312584804875,0.7606603480224917,-0.13988048210353698,-1.585743063736023,0.570463564901507,0.7223574827428086,-1.9293489394673577,-1.0259753912948448,0.5149385267810815,-0.04144117723240906,0.8785804713528215,0.7216046008699893,-0.9586395187945669,-0.1491973952796763,-1.5647658925545944,-0.26495298322564875,-0.6349944237163531,-0.7343748309285063,-0.8179447188114519,-0.8706464499088064,-0.6316064552886673,0.21425632882385917,-4.125025400287442,-0.043793933084969025,-4.244837139323229,-0.43990390842204236,-0.41176494842542,-1.0665369021929874,0.7752474343083675,0.6531864606775311,0.696477168364644,0.4772944331401138,0.6367171697096097,0.36577380572875035,0.8639933850669457,0.41301714324816396,0.16814231411367359
EAM121,0.16777574106833412,-0.356645913655167,0.18769429770308993,-0.029162630119543766,-0.9056984880734443,-0.09631380372483367,-1.68016082547175,-0.9931211265602762,-0.8696032401852929,-0.9321769862366868,-1.1881548311809438,-0.02011157155492283,0.5254326797041328,-0.5952326477909125,0.9642118066562062,0.9736572920848815,-0.7409007164788554,0.13855701416534513,0.49571572939391556,0.49329726993800227,1.1895541018831723,0.5641799292703354,0.821564217374576,-1.3885288679478234,-0.12206053625871219,-1.0187952015139337,-0.6191681306464346,-0.10475246268473844,-0.6439339858473346,-0.29300825303625727,-1.1829961429852827,0.010664103495650978,-1.68016082547175,-0.4661201277389444,1.7847753787044682,1.7237949095907685,1.8523988265811924,1.8501672009029895,1.5444344829891121,1.6111756602488725,0.8427179528730818,1.0354162352723733,0.8086674968854238,0.810800515847613,1.4448416998153333,-0.4183944771883414,-0.9132756357250192,-0.7844693154754093,0.03219669637673508,1.0750146164925884,-0.6164849900054314,1.7137266449030601,1.097227076731451,1.0430971794671198,0.3459113684605591,-0.8250641435100783,1.3251123872661368,1.5990833629693044,0.07099584421452375,-0.22861287765219057,0.21609303191501966,0.6325714715665339,0.08489420134528895,0.7337782909866412,-0.6623111638159822,-0.2508979954712736,-0.12899933516977705,-1.069863100754683,-1.0751255854935167,-0.657801204015148,-1.3094307122234066,-0.8174973755128211,0.32684913330697424,-1.68016082547175,-0.7861456296476413,-0.31518957431216826,-1.68016082547175,-1.412713462506959,-1.2775184650250966,-0.44267767846349076,1.6707029777581603,1.7029837026847319,1.6377994735725556,-0.12126130287628566,-0.6377788508372196,-0.3732066521183003,-0.5322489053939881,-1.6215624870238532,-0.5838721161407092
EAM131,0.577145184553858,-0.1579851433998243,0.979876288343187,0.5228201361614442,0.16766676345002016,0.5383168278538227,-0.12941732914952697,1.3156924848993385,1.220594774389585,0.9010741672962891,-0.4159424957947014,1.247930553523967,-0.3559481608142054,-0.17904524366250996,1.4071325911587154,0.8222624209750485,-1.0487176563839387,-0.6470549580466927,0.42659626855354865,-0.4581300732404752,1.3151149684387526,0.3576889295313514,0.10461159122842206,-0.9407220782544423,-0.9936995882388229,-1.3828109288326762,-1.2810429032031598,0.7364627254807224,1.5931891442106922,0.11918425658386454,-0.058690813276484004,-1.851946800315,-2.925800157676447,-0.5852510714896971,1.0307458632464297,0.9889914231460958,0.26571943318310237,0.9951419734513315,0.034655097302826406,0.8239660945337764,-0.06321469221773715,-0.5452195554967747,-1.274151206773506,-0.24500724873572305,-0.21622767844987714,-0.27638564309420466,-1.5145135576692095,-0.3713100986657823,1.6107071435151206,2.116034046527472,-0.714508880643085,0.8180080497154021,-0.2225129825959162,1.1216854552399675,1.715526381111397,-0.8856558837376103,-0.902615617130139,0.49511859660202484,0.05525318439704402,-0.03260631980670283,0.1702655875226559,1.6016593856326125,0.20111459179226696,1.4773008411198596,-1.007280850336926,0.4545576905202336,-0.5371824514202925,-0.3807332422476687,0.00961013346210089,-0.610113155117904,-1.4364622080210734,-0.9434556561678805,-0.14591504937358687,-1.3508742685622959,-2.0623552974549995,-0.897687476666476,-0.967114580503201,-0.6334544453999034,-1.1163833350158778,0.929709358466989,1.5145506528276276,1.8104315861342875,1.3212751440183312,-0.0860650935082386,-0.5923160228575263,-0.42728106897086415,-1.3978071062592141,-0.4162216287506508,-0.23055008667239843
EAM139,0.6603584218594349,-0.2606469865641928,0.9508527111665174,0.5258316739046858,0.98823179346142,1.305100156062874,1.193816746083381,1.247228988042848,-0.23573392308540883,0.0493432454119296,0.7092168669910971,-0.9606794039185683,1.5364899573757327,-0.2503250470878355,1.3423843675905294,1.0137520298505784,-0.6433746357877824,0.9376656745193315,1.0594797396631235,0.3488028222237531,0.4662528320742333,-0.5216744155646847,-0.8161627641728219,0.231542553907766,-0.13452578858743455,-0.7381789934966553,-2.434439850623968,0.5938540140200278,1.4786187893557066,0.18619432716420406,-0.605672992884244,-0.6620357157050594,-2.1383102377424774,-0.3164025364746352,-0.852422371414221,0.5228906801200616,-0.679956803637819,0.38760496602734495,-0.7000978675241323,-0.06251887624776369,-1.024565378581987,-1.1199769092012344,-1.7050449308069737,-0.6723197068745197,-0.6381757177427043,1.4987313920118472,-0.33053828079428166,-0.4781951429358696,-0.10611199379727468,-0.27761936682449345,0.026650157886699326,-0.677528111996322,-0.6156439105217928,1.1746528510996994,-0.6855731530587786,-0.5916795547154677,-0.9789135653832395,-0.15933449422225018,-0.4751118430003752,-0.12569332015683782,1.329387072477835,0.110677196436433,1.0149853498247763,0.8462102548942401,0.5280137015513424,1.2324291483524799,0.25421666727954784,0.9462040435714668,-0.6667697669906331,-0.3212029972972802,-1.0439285021768843,-0.8648314677699909,-0.3147992205081787,0.5634004977340799,-2.0925730408532077,-1.139795412478912,-2.5420422748343188,-0.7327808468403615,2.2014391650025567,2.0719405677118425,0.6280074902285674,0.7371088725614038,0.21930422493303903,1.608022515879175,-1.9288166095099823,0.8836842079563885,0.3166416321273787,-1.0957943506302419,0.49129871462716157
EAM145,0.36504079500442976,-0.23431990099078454,0.3988049080506265,0.2544013285253649,-0.3897874271639506,0.43123371719104114,0.17599991348588917,-0.004456871495482273,0.2130069074461267,-1.0314963327425308,-0.9281056588948531,0.3574104869713883,0.5374857565511086,-0.09315920237956037,0.7408334656315979,0.7866153138298335,-0.08285828653495803,0.5151671055544708,0.5947130667989031,0.968407402716987,0.21148084583951904,0.44992797187198713,0.22082797317999373,0.05696710817048067,0.5819323008435622,0.13765761561986617,-1.0045994969260668,0.448592667966205,0.3131547003797637,-0.8933877573445252,-0.2440485437329069,0.5447345491824958,-4.2122665393951575,-0.36174604514253333,0.8797050718329089,0.9516207250442997,1.1078512820207747,1.0622601915233645,0.6971499521424499,1.0267792591697347,-0.0221973376723006,0.4653793456388923,1.3138695989128246,0.14719550066116638,0.6044417095410255,0.3961343002390623,-1.3697097363069815,-0.8315822622769079,-0.3667057453640106,0.5807877546386055,0.5813600277410822,1.2524456192468618,0.9088910000592828,1.6269029859682511,0.5470236415924089,-0.9918187309707291,0.6658656892069919,1.1614541959528706,-1.4021385454473994,0.24658026279149786,0.7465561966563773,0.36294246029534216,1.1326497831281512,0.8297265542165015,-0.4821141543637239,-0.170797586615734,-0.302801915587309,-0.5950427132527019,-0.22878792766683062,-0.6648600317550085,-1.3926006604060992,-0.6682936703698747,0.009659198365637434,-1.1976462901619536,-1.6682455380996337,-1.6060585276303652,-3.872107407282281,-1.675875846132672,-1.3300321345351798,-1.4175899192143013,1.0504332140721546,0.8898152299766857,0.931018893355095,0.13155336919343566,0.12449533426287411,0.16188384362476607,-1.2087102368098614,0.35226002904908876,0.6948608597325401
